instancia,semente_1,semente_2,score_genetic,time_genetic,score_sa,time_sa,total_time
SET1 1-2/64-45-1-2,4090531913,1702166011,702,9040,798,14262,23302
SET1 1-2/100-35-1-2,3852015100,1702166040,241,5808,241,5848,11656
SET1 2-3/66-125-2-3,1779953009,1702166064,1325,23460,1595,19179,42639
SET1 2-3/102-60-2-3,2908346547,1702166117,148,4175,148,863,5038
SET1 3-4/64-70-3-4,1769184864,1702166133,960,16172,1020,21992,38164
SET1 3-4/100-40-3-4,1533365473,1702166180,299,8846,299,8493,17339
SET2 5-3/100-45-5-3,4291996068,1702166208,272,7572,272,6573,14145
SET2 6-4/66-50-6-4,921361934,1702166235,465,5891,465,4850,10741
SET2 6-4/100-35-6-4,3552082736,1702166255,241,7244,241,6898,14142
SET3 10-4/66-125-10-4,2559569670,1702166280,1340,21477,1620,19951,41428
SET3 10-4/100-200-10-4,1589192540,1702166330,896,40953,1047,72529,113482
SET3 12-5/64-75-12-5,1457174285,1702166455,894,13518,1008,16350,29868
SET3 12-5/100-180-12-5,1728030499,1702166493,796,33411,899,65690,99101
SET4/102-35-3-3,69212924,1702166603,277,6780,277,6782,13562
SET4/102-35-3-3,3177028021,1702166628,277,6798,277,6819,13617
