instancia,semente_1,semente_2,score_construtivo, tempo_construtivo,score_genetic,time_genetic,score_sa,time_sa,total_time
SET1 1-2/64-45-1-2,937042544,1702238395,600,2233,0,0,0,0,0
SET1 1-2/64-45-1-2,3567438748,1702238402,654,2526,0,0,0,0,0
SET1 1-2/64-45-1-2,1630219156,1702238408,588,2247,0,0,0,0,0
SET1 1-2/64-45-1-2,4030742260,1702238415,612,2494,0,0,0,0,0
SET1 1-2/64-45-1-2,2775689568,1702238422,618,2504,0,0,0,0,0
SET1 1-2/64-45-1-2,1083872276,1702238429,672,2581,0,0,0,0,0
SET1 1-2/64-45-1-2,3954759980,1702238436,618,2379,0,0,0,0,0
SET1 1-2/64-45-1-2,2136622188,1702238443,606,3735,0,0,0,0,0
SET1 1-2/64-45-1-2,2070450596,1702238452,720,3216,0,0,0,0,0
SET1 1-2/64-45-1-2,2677548504,1702238461,618,2393,0,0,0,0,0
SET1 1-2/100-35-1-2,1306634012,1702238468,241,1471,0,0,0,0,0
SET1 1-2/100-35-1-2,263460720,1702238476,241,1658,0,0,0,0,0
SET1 1-2/100-35-1-2,2906605024,1702238483,241,1509,0,0,0,0,0
SET1 1-2/100-35-1-2,2024075832,1702238490,241,1404,0,0,0,0,0
SET1 1-2/100-35-1-2,1155853840,1702238498,241,1601,0,0,0,0,0
SET1 1-2/100-35-1-2,3618919644,1702238505,241,1497,0,0,0,0,0
SET1 1-2/100-35-1-2,1864487852,1702238512,241,1367,0,0,0,0,0
SET1 1-2/100-35-1-2,4178397756,1702238518,241,1439,0,0,0,0,0
SET1 1-2/100-35-1-2,2116762464,1702238525,241,1497,0,0,0,0,0
SET1 1-2/100-35-1-2,1342081872,1702238533,241,2314,0,0,0,0,0
SET1 2-3/66-125-2-3,2516942992,1702238555,1225,11968,0,0,0,0,0
SET1 2-3/66-125-2-3,789924512,1702238575,1335,5635,0,0,0,0,0
SET1 2-3/66-125-2-3,2172760420,1702238585,1260,6108,0,0,0,0,0
SET1 2-3/66-125-2-3,426593032,1702238596,1230,6274,0,0,0,0,0
SET1 2-3/66-125-2-3,2591370640,1702238607,1340,5239,0,0,0,0,0
SET1 2-3/66-125-2-3,3638293548,1702238616,1315,5055,0,0,0,0,0
SET1 2-3/66-125-2-3,501120960,1702238626,1260,6722,0,0,0,0,0
