instancia,semente_1,semente_2,score_construtivo, tempo_construtivo,score_genetic,time_genetic,score_sa,time_sa,total_time
SET1 1-2/64-45-1-2,2324334358,1702240393,588,814,0,0,624,2269,3083
SET1 1-2/64-45-1-2,3307280374,1702240399,618,800,0,0,654,1898,2698
SET1 1-2/64-45-1-2,3904807722,1702240403,594,808,0,0,624,2251,3059
SET1 1-2/64-45-1-2,570515330,1702240409,600,820,0,0,654,2073,2893
SET1 1-2/64-45-1-2,1364270902,1702240414,618,805,0,0,654,1890,2695
SET1 1-2/64-45-1-2,1968818711,1702240419,618,815,0,0,624,2379,3194
SET1 1-2/64-45-1-2,3065410147,1702240424,564,806,0,0,654,1880,2686
SET1 1-2/64-45-1-2,3652710241,1702240429,618,816,0,0,624,2289,3105
SET1 1-2/64-45-1-2,360562092,1702240434,612,797,0,0,624,2341,3138
SET1 1-2/64-45-1-2,1401180059,1702240440,630,920,0,0,798,2934,3854
SET1 1-2/100-35-1-2,3155645964,1702240446,241,477,0,0,241,941,1418
SET1 1-2/100-35-1-2,2745178419,1702240450,241,481,0,0,241,921,1402
SET1 1-2/100-35-1-2,2315980667,1702240453,241,483,0,0,241,952,1435
SET1 1-2/100-35-1-2,1925576053,1702240457,227,484,0,0,241,945,1429
SET1 1-2/100-35-1-2,1524338758,1702240461,241,478,0,0,241,947,1425
SET1 1-2/100-35-1-2,1122137189,1702240465,227,482,0,0,241,896,1378
SET1 1-2/100-35-1-2,671124034,1702240469,241,476,0,0,241,911,1387
SET1 1-2/100-35-1-2,226495171,1702240473,241,480,0,0,241,924,1404
SET1 1-2/100-35-1-2,4095857990,1702240477,241,484,0,0,241,880,1364
SET1 1-2/100-35-1-2,3630658922,1702240481,241,478,0,0,241,908,1386
SET1 2-3/66-125-2-3,3193478723,1702240484,1290,1920,0,0,1435,2866,4786
SET1 2-3/66-125-2-3,1616019109,1702240491,1270,1926,0,0,1575,3023,4949
SET1 2-3/66-125-2-3,205225404,1702240499,1265,1944,0,0,1580,3329,5273
SET1 2-3/66-125-2-3,3405128812,1702240506,1330,1949,0,0,1610,2706,4655
SET1 2-3/66-125-2-3,1694445899,1702240513,1230,1958,0,0,1530,2378,4336
SET1 2-3/66-125-2-3,3958886165,1702240519,1245,1906,0,0,1550,2050,3956
SET1 2-3/66-125-2-3,1548751197,1702240526,1310,1935,0,0,1585,1995,3930
SET1 2-3/66-125-2-3,3412475819,1702240532,1320,1909,0,0,1565,2497,4406
SET1 2-3/66-125-2-3,1455054740,1702240538,1275,1940,0,0,1525,4894,6834
SET1 2-3/66-125-2-3,1924235376,1702240548,1230,1949,0,0,1535,2761,4710
SET1 2-3/102-60-2-3,271464700,1702240554,137,191,0,0,137,548,739
SET1 2-3/102-60-2-3,3517459845,1702240558,71,119,0,0,71,12,131
SET1 2-3/102-60-2-3,1872634393,1702240560,71,119,0,0,71,444,563
SET1 2-3/102-60-2-3,649742292,1702240563,71,119,0,0,71,12,131
SET1 2-3/102-60-2-3,3296264957,1702240566,155,253,0,0,165,222,475
SET1 2-3/102-60-2-3,1988705011,1702240569,148,257,0,0,148,121,378
SET1 2-3/102-60-2-3,600905239,1702240572,71,119,0,0,71,13,132
SET1 2-3/102-60-2-3,3248498894,1702240575,71,120,0,0,71,13,133
SET1 2-3/102-60-2-3,1596229779,1702240577,137,192,0,0,137,520,712
SET1 2-3/102-60-2-3,529971916,1702240580,243,391,0,0,243,682,1073
SET1 3-4/64-70-3-4,4120758297,1702240584,852,937,0,0,918,2181,3118
SET1 3-4/64-70-3-4,864309406,1702240589,924,1091,0,0,1068,2719,3810
SET1 3-4/64-70-3-4,2588984127,1702240595,852,1006,0,0,1002,2580,3586
SET1 3-4/64-70-3-4,4093786541,1702240601,942,1050,0,0,1032,2395,3445
SET1 3-4/64-70-3-4,1154923772,1702240607,990,1090,0,0,1110,3176,4266
SET1 3-4/64-70-3-4,3333450434,1702240613,864,1071,0,0,1002,2455,3526
SET1 3-4/64-70-3-4,483199454,1702240619,924,1084,0,0,1044,3836,4920
SET1 3-4/64-70-3-4,3323054051,1702240626,828,1002,0,0,906,2512,3514
SET1 3-4/64-70-3-4,464694533,1702240632,834,972,0,0,930,3624,4596
SET1 3-4/64-70-3-4,2978059329,1702240639,942,1056,0,0,1068,2792,3848
SET1 3-4/100-40-3-4,450367357,1702240645,299,525,0,0,299,1107,1632
SET1 3-4/100-40-3-4,273899885,1702240649,299,523,0,0,299,1124,1647
SET1 3-4/100-40-3-4,111580736,1702240653,299,534,0,0,299,1057,1591
SET1 3-4/100-40-3-4,4184319967,1702240657,299,528,0,0,299,1140,1668
SET1 3-4/100-40-3-4,4039423731,1702240661,299,527,0,0,299,1198,1725
SET1 3-4/100-40-3-4,3957943323,1702240666,299,525,0,0,299,1098,1623
SET1 3-4/100-40-3-4,3772911837,1702240670,299,530,0,0,299,1178,1708
SET1 3-4/100-40-3-4,3668517486,1702240674,299,527,0,0,299,1275,1802
SET1 3-4/100-40-3-4,3657507984,1702240678,299,524,0,0,299,1168,1692
SET1 3-4/100-40-3-4,3532766602,1702240682,299,532,0,0,299,1088,1620
SET2 5-3/66-60-5-3,3341172978,1702240686,590,663,0,0,655,2483,3146
SET2 5-3/66-60-5-3,4132799511,1702240691,575,650,0,0,600,2242,2892
SET2 5-3/66-60-5-3,317421883,1702240696,765,709,0,0,850,3415,4124
SET2 5-3/66-60-5-3,2030648215,1702240702,580,668,0,0,590,2223,2891
SET2 5-3/66-60-5-3,2512721877,1702240707,595,715,0,0,620,2623,3338
SET2 5-3/66-60-5-3,3438683889,1702240712,620,657,0,0,680,2426,3083
SET2 5-3/66-60-5-3,4115420920,1702240717,555,668,0,0,605,1630,2298
SET2 5-3/66-60-5-3,4003455444,1702240721,650,641,0,0,665,1839,2480
SET2 5-3/66-60-5-3,4081199503,1702240726,635,668,0,0,730,3687,4355
SET2 5-3/66-60-5-3,1728135986,1702240732,775,706,0,0,830,2594,3300
SET2 5-3/100-45-5-3,2615584045,1702240737,272,484,0,0,272,800,1284
SET2 5-3/100-45-5-3,2101605194,1702240741,367,673,0,0,367,1492,2165
SET2 5-3/100-45-5-3,2474649304,1702240746,272,487,0,0,272,803,1290
SET2 5-3/100-45-5-3,1962237903,1702240749,272,490,0,0,272,806,1296
SET2 5-3/100-45-5-3,1459153571,1702240753,272,479,0,0,272,792,1271
SET2 5-3/100-45-5-3,928025118,1702240757,367,672,0,0,367,1368,2040
SET2 5-3/100-45-5-3,1169684525,1702240762,272,478,0,0,272,802,1280
SET2 5-3/100-45-5-3,651845636,1702240765,367,677,0,0,367,1619,2296
SET2 5-3/100-45-5-3,1157869447,1702240770,272,478,0,0,272,801,1279
SET2 5-3/100-45-5-3,639048875,1702240774,367,674,0,0,367,2049,2723
SET2 6-4/66-50-6-4,1562866115,1702240779,535,472,0,0,540,1422,1894
SET2 6-4/66-50-6-4,1413899318,1702240783,455,490,0,0,455,1389,1879
SET2 6-4/66-50-6-4,1249566470,1702240787,415,430,0,0,435,1274,1704
SET2 6-4/66-50-6-4,909409389,1702240791,400,405,0,0,410,937,1342
SET2 6-4/66-50-6-4,206968026,1702240795,510,407,0,0,510,978,1385
SET2 6-4/66-50-6-4,3845270439,1702240799,490,457,0,0,510,1402,1859
SET2 6-4/66-50-6-4,3664988722,1702240803,605,492,0,0,610,1377,1869
SET2 6-4/66-50-6-4,3493540923,1702240807,505,520,0,0,505,1247,1767
SET2 6-4/66-50-6-4,3220623649,1702240811,455,447,0,0,490,1481,1928
SET2 6-4/66-50-6-4,3109192645,1702240815,500,461,0,0,510,1044,1505
SET2 6-4/100-35-6-4,2571059101,1702240819,241,481,0,0,241,757,1238
