instancia,semente_1,semente_2,score_construtivo, tempo_construtivo,score_genetic,time_genetic,score_sa,time_sa,total_time
SET1 1-2/64-45-1-2,4054828585,1702245321,0,0,696,3578,816,4125,7703
SET1 1-2/64-45-1-2,1073710506,1702245331,0,0,702,3679,816,2646,6325
SET1 1-2/64-45-1-2,1004215638,1702245340,0,0,708,3422,798,3008,6430
SET1 1-2/64-45-1-2,1040733730,1702245348,0,0,690,3559,756,2590,6149
SET1 1-2/64-45-1-2,795865631,1702245357,0,0,702,3575,798,2647,6222
SET1 1-2/64-45-1-2,630376318,1702245365,0,0,732,3662,804,2818,6480
SET1 1-2/64-45-1-2,716222183,1702245374,0,0,696,3569,798,2649,6218
SET1 1-2/64-45-1-2,538925252,1702245382,0,0,684,3559,798,2588,6147
SET1 1-2/64-45-1-2,292970615,1702245391,0,0,690,3462,798,2963,6425
SET1 1-2/64-45-1-2,329882219,1702245399,0,0,684,3416,816,2760,6176
SET1 1-2/100-35-1-2,109540492,1702245408,0,0,241,482,241,906,1388
SET1 1-2/100-35-1-2,3965953987,1702245411,0,0,241,481,241,963,1444
SET1 1-2/100-35-1-2,3582795415,1702245415,0,0,241,477,241,946,1423
SET1 1-2/100-35-1-2,3177830371,1702245419,0,0,241,484,241,951,1435
SET1 1-2/100-35-1-2,2788241534,1702245423,0,0,241,482,241,949,1431
SET1 1-2/100-35-1-2,2393489657,1702245427,0,0,227,475,241,941,1416
SET1 1-2/100-35-1-2,1984243802,1702245431,0,0,241,475,241,958,1433
SET1 1-2/100-35-1-2,1594550709,1702245435,0,0,241,481,241,919,1400
SET1 1-2/100-35-1-2,1171926536,1702245439,0,0,227,480,241,979,1459
SET1 1-2/100-35-1-2,804852485,1702245443,0,0,241,476,241,956,1432
SET1 2-3/66-125-2-3,412209697,1702245447,0,0,1605,7903,1605,1935,9838
SET1 2-3/66-125-2-3,3888968691,1702245459,0,0,1605,8025,1615,1968,9993
SET1 2-3/66-125-2-3,3221899746,1702245471,0,0,1605,8158,1605,1881,10039
SET1 2-3/66-125-2-3,2605820223,1702245483,0,0,1605,8228,1625,3065,11293
SET1 2-3/66-125-2-3,3242801426,1702245497,0,0,1600,8050,1600,2215,10265
SET1 2-3/66-125-2-3,2846609954,1702245509,0,0,1600,8119,1605,2935,11054
SET1 2-3/66-125-2-3,3245400744,1702245522,0,0,1605,7990,1605,1872,9862
SET1 2-3/66-125-2-3,2449279979,1702245534,0,0,1605,8059,1615,1961,10020
SET1 2-3/66-125-2-3,1815992678,1702245547,0,0,1605,8145,1605,1896,10041
SET1 2-3/66-125-2-3,1196628166,1702245559,0,0,1605,8105,1615,2991,11096
SET1 2-3/102-60-2-3,1636043514,1702245572,0,0,243,1535,243,770,2305
SET1 2-3/102-60-2-3,2153561827,1702245577,0,0,243,1477,243,854,2331
SET1 2-3/102-60-2-3,2701520418,1702245582,0,0,243,1312,243,867,2179
SET1 2-3/102-60-2-3,3096718123,1702245587,0,0,224,1179,243,838,2017
SET1 2-3/102-60-2-3,3329190682,1702245591,0,0,224,1100,243,1271,2371
SET1 2-3/102-60-2-3,3914099346,1702245596,0,0,233,1321,243,827,2148
SET1 2-3/102-60-2-3,4282774844,1702245601,0,0,224,1368,243,1273,2641
SET1 2-3/102-60-2-3,849890212,1702245606,0,0,233,1408,237,755,2163
SET1 2-3/102-60-2-3,1226686710,1702245611,0,0,243,1260,243,742,2002
SET1 2-3/102-60-2-3,1444754286,1702245615,0,0,233,1043,243,807,1850
SET1 3-4/64-70-3-4,1508509085,1702245619,0,0,1104,6783,1110,2580,9363
SET1 3-4/64-70-3-4,196054821,1702245631,0,0,1074,7021,1098,3336,10357
SET1 3-4/64-70-3-4,4175363900,1702245644,0,0,1104,7152,1122,4259,11411
SET1 3-4/64-70-3-4,617075171,1702245657,0,0,1104,7212,1128,4275,11487
SET1 3-4/64-70-3-4,1431171026,1702245671,0,0,1104,6914,1116,2593,9507
SET1 3-4/64-70-3-4,267326078,1702245683,0,0,1104,6858,1128,2860,9718
SET1 3-4/64-70-3-4,3607919501,1702245695,0,0,1104,7227,1122,2822,10049
SET1 3-4/64-70-3-4,2984505489,1702245707,0,0,1104,7076,1122,2764,9840
SET1 3-4/64-70-3-4,2153793425,1702245719,0,0,1104,6876,1128,2973,9849
SET1 3-4/64-70-3-4,1330042429,1702245731,0,0,1104,6716,1128,2826,9542
SET1 3-4/100-40-3-4,200898907,1702245743,0,0,299,523,299,1181,1704
SET1 3-4/100-40-3-4,91764180,1702245747,0,0,299,531,299,1282,1813
SET1 3-4/100-40-3-4,89539441,1702245751,0,0,299,527,299,1087,1614
SET1 3-4/100-40-3-4,4187945113,1702245755,0,0,299,528,299,1160,1688
SET1 3-4/100-40-3-4,4059983707,1702245759,0,0,299,528,299,1109,1637
SET1 3-4/100-40-3-4,3877134928,1702245764,0,0,299,529,299,1116,1645
SET1 3-4/100-40-3-4,3706980370,1702245768,0,0,299,528,299,1203,1731
SET1 3-4/100-40-3-4,3627208777,1702245772,0,0,299,530,299,1236,1766
SET1 3-4/100-40-3-4,3580690526,1702245776,0,0,299,532,299,1190,1722
SET1 3-4/100-40-3-4,3488994948,1702245780,0,0,299,530,299,1170,1700
SET2 5-3/66-60-5-3,3371426656,1702245785,0,0,845,4577,880,2454,7031
SET2 5-3/66-60-5-3,4090852809,1702245794,0,0,815,4609,815,2585,7194
SET2 5-3/66-60-5-3,645593602,1702245803,0,0,840,4601,860,3918,8519
SET2 5-3/66-60-5-3,2824282014,1702245814,0,0,815,4590,815,2497,7087
SET2 5-3/66-60-5-3,3568512250,1702245823,0,0,815,4459,815,2583,7042
SET2 5-3/66-60-5-3,4263993118,1702245833,0,0,815,4595,815,2555,7150
SET2 5-3/66-60-5-3,773685344,1702245842,0,0,845,4535,880,2175,6710
SET2 5-3/66-60-5-3,1143990777,1702245851,0,0,815,4543,815,2498,7041
SET2 5-3/66-60-5-3,1838807976,1702245860,0,0,815,4532,815,2527,7059
SET2 5-3/66-60-5-3,2550443713,1702245870,0,0,875,4735,900,2792,7527
SET2 5-3/100-45-5-3,2621690082,1702247227,0,0,367,1648,367,1523,3171
SET2 5-3/100-45-5-3,3992732349,1702247233,0,0,367,1851,367,1478,3329
SET2 5-3/100-45-5-3,1222845399,1702247238,0,0,367,2030,367,2092,4122
SET2 5-3/100-45-5-3,3564107591,1702247245,0,0,367,1845,367,1925,3770
SET2 5-3/100-45-5-3,1240160690,1702247251,0,0,367,1661,367,1815,3476
SET2 5-3/100-45-5-3,2915969163,1702247257,0,0,367,2031,367,1683,3714
SET2 5-3/100-45-5-3,536941770,1702247263,0,0,367,1839,367,1960,3799
SET2 5-3/100-45-5-3,2541652508,1702247270,0,0,367,1832,367,1419,3251
SET2 5-3/100-45-5-3,4001579947,1702247276,0,0,272,1451,272,810,2261
SET2 5-3/100-45-5-3,172738090,1702247280,0,0,367,1645,367,1889,3534
SET2 6-4/66-50-6-4,1907659572,1702247286,0,0,630,6701,635,1218,7919
SET2 6-4/66-50-6-4,3492983444,1702247296,0,0,670,6567,715,1499,8066
SET2 6-4/66-50-6-4,932002913,1702247307,0,0,685,6778,685,1570,8348
SET2 6-4/66-50-6-4,2947580050,1702247317,0,0,650,6687,695,1568,8255
SET2 6-4/66-50-6-4,576065332,1702247328,0,0,635,6665,715,1500,8165
SET2 6-4/66-50-6-4,2409176495,1702247338,0,0,670,6461,715,2298,8759
SET2 6-4/66-50-6-4,542549167,1702247349,0,0,670,7138,715,2243,9381
SET2 6-4/66-50-6-4,3593778999,1702247361,0,0,635,6297,635,1207,7504
SET2 6-4/66-50-6-4,468637841,1702247371,0,0,625,6533,685,1579,8112
SET2 6-4/66-50-6-4,2248773342,1702247381,0,0,645,6816,655,1586,8402
SET2 6-4/100-35-6-4,18359798,1702247392,0,0,241,477,241,883,1360
SET2 6-4/100-35-6-4,3887152737,1702247396,0,0,241,478,241,894,1372
SET2 6-4/100-35-6-4,3468909582,1702247400,0,0,241,477,241,777,1254
